text,annon_sents,neigbors
ivan's childhood: another tarkovsky masterpiece presented with care and precision by criterion classics.time for a blu-ray upgrade.,ivan's childhood: another tarkovsky masterpiece presented with care and precision by criterion classics. tora to,"[257, 343, 390]"
annoying assemby: very poor instructions and tedious assembly. requires multiple tools and really 2 people to accomplish this.,"very poor instructions and tedious assembly. requires multiple tools and really 2 people to accomplish this. a great grill accessory, used it to fix pancake","[258, 844, 710]"
falling apart after one washing!: not very good quality. kind of scratchy. staring falling apart after first wash!,"boring, speaker very unenthusiastic, not enough sewing information. falling apart after one washing!: not very good quality. kind of scratch","[53, 259, 685]"
very appreciated!!!!: this movie was very intertaining! i work in a daycare and the children really enjoyed this movie!,the mummy returns: another dvd for my grand daughter's collection. she loved it. emperor and the nightingale:,"[189, 260, 426]"
great book: cannery row is about a very strange community. steinbeck uses wonrderful plot lines. i recommend this.,cannery row is about a very strange community. steinbeck uses wonrderful plot lines.,"[261, 928, 926]"
disappointing: this shaver was defective and had to be returned to seller. i did receive full refund (minus shipping).,"shaver was defective and had to be returned to seller. ordered this spider, never came in the mail...contacted seller and said one was","[262, 686, 600]"
greatest book i've ever read!!!: the book eragon by christopher paolini is the best book i have ever read.,the book eragon by christopher paolini is the best book i've ever read. it's sooooooooo,"[263, 287, 271]"
"cross between lord/rings and h.potter...: excellent read, cant wait for the next one. very well written, great characters.",schlossstein has made a compelling and truly thought provoking thriller given the times we are in!!,"[7, 884, 264]"
a great book: eragon was a great book. there are many suspensing moments.i could read it a hundred times.,"the goblin cleaver is pure gold, end of story, a must have for any dvd collection of fantasy fun...dillholes","[217, 265, 870]"
"arrived quickly. enjoyed tremendously.: arrived quickly and enjoyed reading it, expect to see the movie.","if you like musicals, then you'll love this movie. jennifer hudson definitely stole the show ","[211, 266, 345]"
110% derivative: i liked this book better when it was called dragonriders of pern/star wars/lord of the rings.,i liked this book better when it was called dragonriders of pern/star wars/lord of the rings. i',"[267, 794, 848]"
"review: ordered size 32, received size 52. when returned the item i initially ordered was no longer available.","ordered size 32, received size 52. when returned the item i initially ordered was no longer available.","[172, 299, 268]"
harry potter disc set: i am thrilled with the quality of thisproduct. i love the harry potter movies.,sonicx/chaos:emerald chaos/seasons2 was of great quality. harry potter disc set,"[196, 269, 728]"
the worst harry potter movie yet: simply put: definitely a let-down. especially after the stellar and surprising third film.,harry potter: the worst harry potter movie yet. harry potter lacks the magic john william,"[270, 589, 677]"
"the hobbit: this is the best of it's genre, written for adults and children alike and superbly packaged.",the book eragon by christopher paolini is the best book i've ever read. it's sooooooooo,"[263, 287, 271]"
perfect: received the product very promptly. the item works perfectly. i received exactly what the ad described.,i ordered before july 4th.still not receivedemails never answeredno credit giveni just want the 2 dvd's ,"[202, 272, 289]"
"rather misandristic: a rather misandristic selection of ""solutions"" and surveys, masquerading as a self-help guide for women.","a misandristic selection of ""solutions"" masquerading as a self-help guide for women. informative, eye-open","[273, 491, 882]"
disappointing...: ... that's the most appropriate word to describe how i feel about this long awaited book.,i was disappointed in the content of this book. i would not recommend it to anayone.,"[37, 274, 958]"
gaslight: my students loved this classic suspense tale and used the information to write their own screenplays!,'french powder mystery' is one of my favorite mystery novels. the beginning kept me coming back for the big ending.,"[275, 787, 631]"
a disappointament: deals disappointingly little with the engine for which i had hoped to use it as a reference.,"this moving is awful: boring, depressing and pointless! i'm sorry i wasted my time watching it. :(.","[276, 837, 521]"
"lee ann womak cd: the cd arrived within two days of my placing my order. very fast, courteous service.",lee ann womak cd arrived within two days of my placing my order.,"[277, 319, 755]"
lovely little editions: i enjoy these barnes and noble editions. pocket books make a nice addition to the library.,the best wmi book currently available. includes source code for all samples.,"[194, 375, 278]"
/???????????????: don't buy..........this is a spin off from another book but not worth the $$ to get!!,the story was awful. don't spend your money on this one. borrow it from the library.,"[92, 279, 522]"
keurig b50: super quick brewing - coffee smells wonderful!! hot perfect cup everytime! extrememely low maintenance.,keepin' that java warm! keeps the mug warm while i'm on the computor! buy it!!!,"[52, 396, 280]"
"wantabe!: the title says it all. looks like something i shot in my backyard,don't waste you're time or money!!!!!!!!!!!!!!!!!",it is a rainforest. don't buy if you are expecting anything more than rain. threw it away.,"[281, 780, 450]"
"why did they make this film: no donald pleasence,no michael myers,no point at all.the weakest of the series.","the movie was boring,slow paced,unrealistic,stupid,and a total waste of time and money...and those","[282, 505, 983]"
1491: excellent documentary of pre-columbian civilization in the americas. well written and thoroughly researched.,"1491: excellent documentary of pre-columbian civilization in the americas. well written and thoroughly researched. great for budding entrepreneurs, and","[83, 283, 148]"
"wizard abroad: so predictable... i'd rather read a boring school textbook than this. =/ sorry, ms. duane.",cornwell's last two books are really terrible.read evanovitch.great series!!!!,"[284, 558, 957]"
audio for polar express: my son is thoroughly enjoying this audio version of the music found in the movie.,i love enya's work and this cd is exceptional. my son is thoroughly enjoying this audio version of the music found,"[4, 243, 285]"
"splatiador: awful movie! why did it win best picture? crouching tiger, hidden dragon was definitey robbed of the oscar!","splatiador: awful movie! why did it win best picture? crouching tiger, hidden dragon was definitey ","[176, 286, 389]"
what a brilliant book!!!!!!!!!!: this is soooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo much better than harry potter,the book eragon by christopher paolini is the best book i've ever read. it's sooooooooo,"[263, 287, 271]"
"attention writers: there is such a need for historical fiction on asia, and this book doesn't entertain the reader.",amercian thocracy: a magnificent and scholarly work. among phillips' best. american masterpiece: hands,"[144, 195, 288]"
no service!!!!!!!!!!!!!!!!!!!!!!!!: ordered before july 4th.still not receivedemails never answeredno credit giveni just want the 2 dvd's i ordered,i ordered before july 4th.still not receivedemails never answeredno credit giveni just want the 2 dvd's ,"[202, 272, 289]"
great music: wonderful music for relaxation and dining. mary beth carlson brings the piano into the home.,i expected recipes and...none!made a donation to a senior center and donated...julie & juli,"[236, 290, 506]"
"good cozy read: as with all donna andrews books in the meg lanslow, funny, well-paced and very enjoyable",this book was very good i loved the suspense: there wasn't enough romance though.i wish her books were longer. as with,"[49, 291, 437]"
outstanding!: hard to believe it was used. it's almost in perfect looking condition. works amazingly well too!,"a hybrid between a ricer & the old ""wavy-wire"" tool your mother used. hard to believe it was used.","[93, 630, 292]"
"blu-ray review: amazon, again why won't you post my review?terrible blu-ray transfer of a good movie.",the blu ray version is barely superior to the dvd...it is very grainy.not worth the upgrade.,"[27, 640, 293]"
superb: this dvd is not supposed to be widescreen. it is absolutely excellent on dvd. well worth the price,"instant immersion american sign language deluxe came without instructions. nice product, but it's not even dubbed in spanish. dvd is","[167, 582, 294]"
"bad charger good price: charger does not do the job, inconsistent surges, does not charge battery. returned. poor quality.","i bought 2 sets, both taps broke while trying to tap aluminum! terrible quality, never again..","[295, 372, 937]"
generally good & helpful: rather weak when you deal with uncirculated coins. verydifficult area of grading.,pastry cutter: heavier than expected. very good when chopping/dicing vegetables to transfer them to pot from cutting board. cheap: don',"[296, 647, 629]"
"i don't get it: it's actually a common sense...get muscular, be handsome....have a lot of money....blah.","wishmaster is a fantastic album, that should grace everyone's music collection. truly a masterpiece.","[89, 297, 6]"
it gets sticky!: title says it all. it gets sticky fast. i would recommend wet platinum over this product.,"this had no effect on pet hair. personally, masking tape wrapped around your hand works better.","[102, 191, 298]"
product had a problem: the strings wouldn't tighten. not sure if it's worth paying more shipping to return it.,"ordered size 32, received size 52. when returned the item i initially ordered was no longer available.","[172, 299, 268]"
disappointing: repetitious and disappointing for someone who bought all santana records lp's cds and dvds.,repetitious and disappointing for someone who bought all santana records lp's cd's and dvd's ,"[300, 525, 510]"
rod - please retire: rod -stop...please stop.please stop.please stop.please stop.please stop.please stop.please stop.please stop.please stop.please stop.please...,"saunders-garcia combo doesn't work. bass work, guessin' by phil lesh, is the highlight ","[301, 771, 692]"
"book for brain disabled but with healthy, national heart!: god save the queen and sharpe, the english rambo","if you are looking for spiritual enlightenment, this isn't the book for you. excellent book by thomas","[302, 842, 806]"
mengele: the complete story: was hard to stay interested in this book. i found it very boring to read.,"time to quit: plodding, disappointing writing that lacks character development. mengele: the complete story was hard to stay interested in ","[141, 516, 303]"
collector toy meets expectations: liked first one so much. bought second. will raffle second at charity auction near future.,i recently received these bags. great product at a great price...i hope they become available once again.,"[304, 473, 889]"
too detailed: this is clancy's most involved and boring book.do not buy it. instead try hunt for red october.,this is clancy's most involved and boring book.do not buy it. as mr. clancy ages ,"[305, 875, 874]"
"... superior or just ...?: the figures arms cannot be lowered, limiting the available poses to waving gestures. ...","the figures arms cannot be lowered, limiting the available poses to waving gestures. if you're a narut","[306, 781, 408]"
"lots of action: typical cavalry versus indian oater. lots of action, which is what i ask from a western.",emanuelle around the world: acting was poor and contrived. much of the plot centered around violence towards women.,"[307, 439, 416]"
fabulous!: quickly sent; immaculate copy. charming illustrations sent fellow book discussion group members to amazon for their own copies.,"cake craft & decoration, begin by march 2006 issue.thanksdiana.","[119, 453, 308]"
"great device: amazing product, crisp display, good touch screen, steady build, small but powerful, wifi reception very strong","good product, works just as described. easy to install. have not had any problems thus far. great purchase: installed in seconds. great performance. excellent","[50, 73, 309]"
satisified customer: item shiped in a timely manner and arrived in the described condition. would use this seller again.,"the lid on the spinner arrived cracked. the mailing package was intact, i question the sellers quality control.","[129, 623, 310]"
early flying: i'm interested in early flight and this book gave an eyewitness account which i enjoyed.,i'm interested in early flight and this book gave an eyewitness account which i enjoyed. the night before christmas: excellent book.,"[311, 619, 413]"
fantastic debut: a great debut record from a band who deserve a lot of attention. buy this record twice.,"wishmaster is a fantastic album, that should grace everyone's music collection. innovating and always refreshing. truly a masterpiece.","[6, 312, 773]"
"yes yes yes: yes, yes, yes. not a very classical fitzerald, but very joyous, nery personal .... beautiful!",the music of thomas tallis is destined to a favourite for many years. morgenstern's genius: florinese,"[313, 515, 424]"
"we like it.: we are enjoying very much, would have prefered older, more classic, but this is very good","not really all that good. and, the language used could be better. thought provoking although not easy to read due to ""old english"" style","[216, 727, 314]"
ummm....farce: if this is what is currently being billed as enlightened or envisioned research then empiricism is dead.,1: pure archaic drivel: an insult to the intelligence of anyone who has done any research on dream physchology. 3:,"[315, 377, 905]"
great: fast delivery and great conditions would defenetly recommend to guy from themand will defently buy from them again,fast delivery and great conditions would defenetly recommend to guy from themand will defently buy from them again.,"[316, 576, 452]"
incomplete: i did not recieve the box with checks as stated in the ad. only receiced the program disc.,this book was sold by wrox to apress. the code download is available directly from apress at http://support.apress,"[317, 808, 497]"
"the count and joe: great stuff, count basie and joe williams say it all. swinging blues, nice and easy.",i like listening to this in the car while driving. swinging band - great rhythm section! all the way billy cobham: ,"[318, 804, 394]"
good deal: fast shipping and product arrived in good condition. glad to be able to get thorogood cd's,lee ann womak cd arrived within two days of my placing my order.,"[277, 319, 755]"
better than perfume: have only seen the play twice. i desperatly want this book. so quickly republish this book.,"this book is a tragedy. great book, but publication quality is zero. don't buy a reprint.get the original.","[320, 417, 819]"
brings it together: i love these wall hangings. it adds a little extra to help bring the room together.,the picture shows pillow cases and another sheet but this only comes with 1 fitted sheet.,"[321, 826, 459]"
persuasion: this is terrible. you cannot read it because the lines are all misaligned. a complete waste of money.,persuasion: this is terrible. you cannot read it because the lines are all misaligned. a complete waste of money.,"[322, 550, 348]"
recommended: i really enjoyed this video. it is a smart idea. his roller disco song was really catchy too.,i really enjoyed this video. it is a smart idea. his roller disco song was really catchy too.,"[323, 520, 404]"
"waste of time: what a disappointment. nothing like my favorite, the green mile. dont waste your time. boring.",i purchased all 7 and gave them away. hard to watch/listen: waste of money. i found myself not caring about the main character and,"[54, 750, 324]"
suspensful page-turner: be prepared to keep reading until it's over! du maurier is the best at this genre.,du maurier is the best at this genre. i really enjoyed this trilogy and plan to read cornwell's entire works.,"[325, 899, 615]"
"well done!!: the single most informative and entertaining documentary to date, for a legendary and deserving band.",story of the yardbirds: excellant dvd. had a lot of info i didn't know. high valley cd:,"[28, 326, 680]"
careful! not complete!: amazon says this is a volume of poe's complete works. uh-uh. only the poetry.,"amazon says this is a volume of poe's complete works, but it's only the poetry. it would be much better to ","[327, 923, 701]"
"good adventure movie: like this one alot, worth adding it to your collection of those adventure type films.","maurice: beautiful story, beautiful people. loved the movie though i have problems with english accents. hackman's french connection: ","[207, 997, 328]"
pretty good: good movie. good effects and all that but the plot overall was pretty stupid. a bit childish.,good movie fun and entertaining. lots of fun if your into the simple comedy. good effects and all that but the plot overall was pretty stupid.,"[106, 749, 329]"
gillette fusion blades: great price and arrived very quickly. i will never pay full price for blades again.,"switched from fusion blades to these, very impressed. gives more irritation than the mach 3 turbo, and doesn't shave as","[171, 330, 335]"
"short tracks!!??: what's with the short tracks, seconds??? something seems to be missing here. wasted my money.",this cd truly is awful. the lyrics are lame! it must have been written by some speds!!,"[331, 588, 859]"
"truly unbelievable: i'd give this 10 stars if i could. what a beautiful cd, especially the title track.","amazing voice! sounds like a young rod stewart, but better :)did not find one bad track on this album!","[162, 499, 332]"
"""the best movie in history!!!"": mortal kombat rocks!paul anderson made the best movie in tv history!!!",chuck norris does his usual dry one liners while kicking butt style of movie. good depiction of the gettysburg,"[250, 921, 333]"
clean shave: this product is good for the one who wants deep clean shave. performance is good for sure.,this product is good for the one who wants deep clean shave. performance is good for sure.,"[334, 645, 788]"
"not nearly worth the money: it gives more irritation than the mach 3 turbo, and doesn't shave as close.","switched from fusion blades to these, very impressed. gives more irritation than the mach 3 turbo, and doesn't shave as","[171, 330, 335]"
"shocking sneakers: beautiful design, very nice choice of colours (white/ green/ gold), very confortable, 10 points","shocking sneakers: beautiful design, very nice choice of colours (white/ green/ gold), very confortable, 10 points. black suede enzo","[336, 849, 643]"
nothing against mandy moore but...: do humanity a favor and listen to the orginal versions of these songs.,"i love this album. great covers, and in mandy's voice sound amazing. i was so disappointed. this is not the","[337, 338, 883]"
"*coverage!*: i love this album. great covers, and in mandy's voice sound amazing. very good tunes.xoxoalex! :)","i love this album. great covers, and in mandy's voice sound amazing. i was so disappointed. this is not the","[337, 338, 883]"
herbalife: the product tastes great for a health shake. i have recomended it to several people already.,the product tastes great for a health shake. some of the best tea i've ever drank and best pricing i've,"[339, 931, 441]"
almost bought this one!: thought it was anamorphic! thank you guys! now when will we get the anamorphic version?,i almost bought this one!: thought it was anamorphic! now when will we get the anamorphic version?. ,"[340, 746, 839]"
dualshock analog controller: this controller is awesome. the buttons are quick responding and it looks really kool.,"the joystick is too sensitive, overall the worst excuse for a flight sim. the superb timer is wonderful. i use it to","[341, 409, 765]"
"this title make me his fans,branagh.: in my opinion ,'dead again'is a love story that impress me very mush","i really enjoyed this seires, i really think anyone who likes modern fanatasy should watch it..","[342, 845, 871]"
tora tora tora!: excellent classic masterfully recording on dvd. a must for the collector of the classic wwii films.,ivan's childhood: another tarkovsky masterpiece presented with care and precision by criterion classics. tora to,"[257, 343, 390]"
physcial education for elementary school students: i have found it very helpful in my after school program,"if you are looking to get into security as a career, read infosec career hacking. good book!!","[344, 908, 451]"
"best movie ever!!!!: if you like musicals, then you'll love this movie. jennifer hudson definitely stole the show.","if you like musicals, then you'll love this movie. jennifer hudson definitely stole the show ","[211, 266, 345]"
excellent: arrived as advertised on time in excellent condition. product works well and was well packaged,"the item was delivered earlier than expected, arrived exactly as described (new) seller had good communication and shipment was fast. item arrived in good condition. very","[67, 457, 346]"
terrible: two cats removed the collar immediately. the third collar remained intact but the powder came off immediately.,two cats removed the collar immediately. the third collar remained intact but the powder came off immediately. i purchased two so that i could,"[347, 987, 447]"
movie is better: this reads just like the movie. you really don't get anything more by reading it. boring!,persuasion: this is terrible. you cannot read it because the lines are all misaligned. a complete waste of money.,"[322, 550, 348]"
average and plain.: this book is boring not funny and defenitely no worth to read. don't waste your time,horrible book: boring and bland. he even spent two pages listing sponges. don't waste your time by reading this.,"[86, 349, 117]"
"useless: product has little information about even major metro areas, let alone less populated ones. totally useless.","product has little information about even major metro areas, let alone less populated ones. added nothing, no single new inforamtion can be found in","[350, 843, 611]"
awesome stuff............: what's there to say ....... ought to be required reading in every school (if it isn't already).,this book is very concise and useful! i found it very easy to accurately translate quickly. should be required reading in every school (if it is,"[84, 228, 351]"
inspiring thoughts: makes you realise that without goals or objectives we can all sink without a trace,inspirational thoughts: makes you realise that without goals or objectives we can all sink without a trace. small...but great things always come in small packages,"[352, 531, 694]"
good general knowledge book: nice for most fish in florida but not all....saltwater and freshwater species listed.,a good general knowledge book for most fish in florida but not all...saltwater and freshwater species listed. nothing really special about,"[353, 556, 555]"
horrible: que maletas eran antes. pero bueno fue el comienzo. lo bueno empieza con donde jugaran.........,"mariachi from mexico - best music for my restaurant""hacienda"".","[354, 606, 993]"
weak: disappointing poppish sound. like elliot doing more bob dylan/van morisson style with more soul.,"disappointing poppish sound. like elliot doing more bob dylan/van morisson style. too ""jazze","[355, 625, 917]"
poor disapointment.: not as expected. cd quality was good the singer and song choices were disapointing.,"surprisingly, the vocals are completely uninspired. the recording quality was not very good.","[81, 356, 783]"
the clock strikes twelve review: the book was really good. the ending is different than what you would expect.,if ever a book deserved an 11...: absolutely wonderful...surely one of the greatest novels to come out from america.,"[158, 357, 962]"
"hella hillarious!: c-u-r-l-y.....what can i say? ""wooo wooo wooo! "" and a ""nyaaaaaaahhhhhh! "" do i recommend it? soitenly!","i would gve it zero: stupid,dum,cheesy,boring.plese dont buy this video.","[358, 985, 598]"
great bits: high quality solid bits even from taiwan will bu=uy from them (tool manufacturer) and vender again,great bits: high quality solid bits even from taiwan will bu=uy from them (tool manufacturer) and vender again.,"[359, 659, 663]"
"riddickulous: lame, tedious, uninspired. generic plot, hokey final confrontation and woodener-than-a-hockey-stick ""acting"" from the vinster. no fun.","teenmo lumbers under its own limitations in feeble attempts at melodic engagement. generic plot, hokey final confrontation and woodener-","[208, 725, 360]"
don't waste your money: this game is really bad. bad graphics. bad game play. few choices. not realistic. ...,sega sports rules is best basketball game out there. live 07 is garbage this is your best bet. bad graphics. bad game play,"[31, 731, 361]"
another wonderful disney movie: disney doesn't disappoint!! this is a nother wonderful disney adventure that you will enjoy!!,"disney doesn't disappoint with another wonderful disney movie. mixing new world music with old world settings works very well. something new, something","[362, 371, 514]"
fast service: received the movie before the date expected. received it in execellent condition. thanks. love ordering from amazon.,like the movie so i bought it. received the dvd in great condition. was very satisfied.,"[130, 971, 363]"
wonderful: the base arrived when promised and works just like it should. this company does exactly as it says.,the base arrived when promised and works just like it should. this company does exactly as it says. suspicious how every negative comment on this guys products is immediately,"[364, 446, 537]"
waste of time and money: the worst movie i saw this year. completely implausible the way the characters evolve.,utter rubbish: don't waste your money. boring and needlessly graphic gay sex.totally unsympathetic characters.,"[185, 365, 800]"
sweet november: movie is very entertaining and touching. keanu reeves and charlize theron are very good in their roles.,under the tuscan sun was such an enjoyable movie. keanu reeves and charlize theron are,"[23, 366, 888]"
"a disappointment: the movie has a very weak storyline, loosely linked chapters, total disappointment from a good cast.","the movie has a very weak storyline, loosely linked chapters, total disappointment from a good cast. it was definitely not a classic","[3, 367, 989]"
game is horrible: game is horrible dont buy definitley a waist of money. the most boring experience ever.,this album is worse than their previous release. don't buy it...save your money!,"[368, 854, 878]"
shallow music for shallow people: who actually likes bon-jovi anyway? mullett wearing rednecks and heretics.,george carlin shows a lot of sincerity and frankness in this interview with larry wilde. the,"[369, 475, 984]"
"enjoyable movie: i truly enjoyed this movie. moves fast, good characters, sense of humor, and good music.",beach boys and the satan: a totally off and enjoyable movie. all brian wilson fans should see this movie.,"[19, 370, 721]"
"excellent: fantastic movie, you'll love it, mixing new world music with old world settings works very well.","disney doesn't disappoint with another wonderful disney movie. mixing new world music with old world settings works very well. something new, something","[362, 371, 514]"
"do not buy this: i receive it, now to plug and go.smoke came out of itlow money=low quality.......................................","i bought 2 sets, both taps broke while trying to tap aluminum! terrible quality, never again..","[295, 372, 937]"
"...and justice for all!: stellar performances throughout, this movie really makes you wonder...possibly my favorite movie!","stellar performances throughout, this movie really makes you wonder...possibly my favorite movie! a monumental film. a must-see for movie lovers","[373, 564, 690]"
"challenge of the samurai: wandering the viridian forest,pur heroes meet up with a mysterious young samurai.","authur miller creates such a ridicus story and so many stupid characters. without the elemental heroes, this is not fun.","[374, 544, 428]"
best wmi book yet: perhaps the best wmi book currently available. includes source code for all samples.,the best wmi book currently available. includes source code for all samples.,"[194, 375, 278]"
the edinburgh lectures: the book arrived in perfect condition. it was exactly what i was looking to obtain.,the edinburgh lectures arrived in perfect condition. compact houses book came fairly quickly and as described.,"[376, 756, 767]"
pure archaic drivel: an insult to the intelligence of anyone who has done any research on dream physchology.,1: pure archaic drivel: an insult to the intelligence of anyone who has done any research on dream physchology. 3:,"[315, 377, 905]"
alice book review: puchased for my teenage daughter who loves the classics.book as described - good seller,"i love reading it to my daughter and she loves listening to it. it is a delightful book, full of fun and laughter.","[222, 626, 378]"
"wrong: i ordered the penguin classics version of this book, and the seller shipped me the signet classics version.",o'reilly should really offer refunds on this book. buy martin fowler's uml distilled instead ,"[379, 419, 827]"
"book review: depressing but hopeful book about recovery from drug and alcolhol addiction and return to normal, sober life.","depressing but hopeful book about recovery from drug and alcolhol addiction and return to normal, sober life. follow the drinking gourd","[380, 860, 492]"
this movie is outta sight: most people probably think this a teeny bobber comedy but it's much better,stay away this movie is a joke and shows hollywoods lack of creativity and good actors!,"[381, 561, 801]"
"worked fine: worked perfectly (going back, doing reviews on products i bought a while ago).the seller shipped it fast.",hard drive upgrade kit worked perfectly. process took less than 30 minutes from start to finish. seller shipped it fast.,"[253, 635, 382]"
more moths: i think the pheromone encouraged breeding ...i swear there are now more moths than before !!,i swear there are now more moths than before!!! i highly recommend this book for people who want to hear the truth about,"[383, 896, 778]"
disapointed: sammy hagar....r u kidding?he never belonged with van halen.quite the disappointment!i'd take david lee roth any day!,disapointed: sammy hagar....r u kidding?he never belonged with van halen.quite the,"[384, 740, 944]"
outstanding magazine: truly a remarkable publication. but what the heck is it doing for sale on amazon?,"worst service: paid for a subscription for my boyfriend and he only received 2 issues!!!. worst book ever: a lot of hype,","[48, 385, 847]"
"satisfied customer: would buy again from this seller. item arrived quickly, and in condition described.thanks so much!","would buy again from this seller. item arrived quickly, and in condition described.thanks so much!","[386, 652, 679]"
inherit the wind: the movie is just a small sample that proves bible is a bunch of baloneyivan- brazil,inherit the wind: the movie is just a small sample that proves bible is a bunch of baloneyivan- brazil ,"[387, 670, 488]"
casablanca: this was bought as a christmas present for someone who loves old movies. she enjoyed this very much.,casablanca was bought as a christmas present for someone who loves old movies. she enjoyed this very much.,"[123, 542, 388]"
must have classics: this is all time great classics movie that everyon should have in their collection,"splatiador: awful movie! why did it win best picture? crouching tiger, hidden dragon was definitey ","[176, 286, 389]"
round up the usual suspects: casablanca has been beautifully restored and the extras only enhance the movie experience.,ivan's childhood: another tarkovsky masterpiece presented with care and precision by criterion classics. tora to,"[257, 343, 390]"
drek is drek: not well written and hardly anything new. printed on poor stock and not very attractive.,drek is drek: not well written and hardly anything new. kim is a good. though dated.,"[391, 918, 688]"
red lace yellow lace: instructions easy to understand. this book helped my granddaughter learn to tie her shoes.,yellowbird 2000 watt professional is one of the best hairblowers i have ever owned.,"[392, 902, 667]"
the five star ratings don't lie on this one: an absolute masterpiece.... there's nothing more to be said,wheeler is the best contemporary song writer and singer of our day! absolutely great!,"[80, 687, 393]"
"all the way billy cobham: if this album/cd is not in your collection, your collection is not complete!!",i like listening to this in the car while driving. swinging band - great rhythm section! all the way billy cobham: ,"[318, 804, 394]"
"no longer mac compatible: the software is not compatible with 10.6, do not purchase if your are running 10.6!",stay away from dlink if you expect ease of use or have mixed operating systems (xp and mac) dvd will not play in neither my,"[395, 903, 867]"
"chill pad: this chill pad is wonderful, my laptop keeps cool and is less expensive than other brands.",keepin' that java warm! keeps the mug warm while i'm on the computor! buy it!!!,"[52, 396, 280]"
"flawed product: after owning one for 10 months, my coolpad stopped working after daily use. definitely would not recommend!","after owning one for 10 months, my coolpad stopped working after daily use. after only a few uses, the plastic started cracking and","[397, 530, 613]"
"targus pa248u: this products is not recommended for pc 15 inch, the service for amazon is good, thank you",i was given the fullscreen version...what a disappointment! buy the widescreen if you can.,"[240, 398, 479]"
great camera: i ordered this camera for my son's birthday present - he's captured some great pictures thus far!,i ordered this camera for my son's birthday present - he's captured some great pictures thus far!,"[227, 545, 399]"
"poor customer service: overall, panasonic's customer service is atrocious. i would not buy any product from them. horrible.","panasonic's customer service is atrocious, i would not buy any product from them. tried to contact seller several times. was","[400, 634, 616]"
"great camera: great camera, better than expected, i like the 28 wide angle,very clear shot. very good service.robert",awsome plasma. razor sharp and crystal clear picture. superb set.,"[401, 557, 418]"
"bad, bad, bad: even elizabeth berkley's nudity couldn't save this movie.it was tasteless and just bad. period!","this movie was awful, nothing like the first movie and even worse than the second. even elizabeth berkley's","[224, 402, 493]"
i love menudo: this cd is fantastic! brought back many fond memories and the songs chosen were perfect.,"mannheim steamroller's unique sound lends itself perfectly to the ""mouse"" fantastic music for all who love disney!","[142, 403, 610]"
gggggggggggrrrrrrrrreeeeeeeeeeeaaaaaaaaaaatttttttttttttttttt: cool cd man .... all his songs are cool,i really enjoyed this video. it is a smart idea. his roller disco song was really catchy too.,"[323, 520, 404]"
the language of letting go: length:: 0:29 minsthe language of letting go (hazelden meditation series),the language of letting go (hazelden meditation series) is a wonderful intro to eastern thought!,"[405, 501, 948]"
the language of letting go: never received the books. second time this has happened. don't order from amazon.,the language of letting go: never received the books. second time this has happened.,"[134, 666, 406]"
incredible: classically influenced compositions;depth of feeling;subtle nuances and shadings...as only banco can do..highly recommended italian prog.,banco's music is deeply influenced by classical music. great old italian classics that i remember listening to as a kid with my,"[407, 799, 988]"
"naruto wristband: exactly as advertised. if you're a naruto nut, or like wristbands, i'd advise buying this","the figures arms cannot be lowered, limiting the available poses to waving gestures. if you're a narut","[306, 781, 408]"
"stay away!: doesn't work on xp, joystick is too sensitive, overall the worst excuse for a flight sim.","the joystick is too sensitive, overall the worst excuse for a flight sim. the superb timer is wonderful. i use it to","[341, 409, 765]"
sad: initially i thought the software was difficult to use. then i realized that it was just unuseable.,the program looks fun but the software i recieved was corupt it wont load on any machine.,"[8, 410, 895]"
"excellent product: this is denetly a must have.... very comfortable, cool looking and resistant, great product all around.","farberware is a name you can trust. anolon makes awesome kitchenware, and this saucepan is no exception.","[149, 168, 411]"
"truly tasteless: this is the most vulgar, tasteless, mindless trash i've ever seen! of course i loved it!",i just don't get who would buy such an ugly doll!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,"[412, 527, 791]"
the night before christmas: excellent book. really brought back memories. very well done and thoroughly enjoyable. recommend it highly.,i'm interested in early flight and this book gave an eyewitness account which i enjoyed. the night before christmas: excellent book.,"[311, 619, 413]"
great review!!!: product arrived in a timely manner and in good condition. would do business with again. a++++,review: didn't like the product but my money was happily refunded. product arrived in a timely manner and in good condition.,"[192, 796, 414]"
"quality: the book arrive a little earlier than i expected, but looks practically brand new. an excellent deal.",the books arrived in good time and in excellent condition. the cover designs are wonderful.,"[122, 136, 415]"
"emanuelle around the world: acting was poor and contrived, much of the plot centered around violence towards women",emanuelle around the world: acting was poor and contrived. much of the plot centered around violence towards women.,"[307, 439, 416]"
"wash out: this book is a tragedy. great book, but publication quality is zero.don't buy a reprint.get the original.","this book is a tragedy. great book, but publication quality is zero. don't buy a reprint.get the original.","[320, 417, 819]"
"thanks!: very great service. got it late in the mail, but it the post office's fault. great condition. thanks!",awsome plasma. razor sharp and crystal clear picture. superb set.,"[401, 557, 418]"
awful: o'reilly should really offer refunds on this book. it is unreadable.buy martin fowler's uml distilled instead.,o'reilly should really offer refunds on this book. buy martin fowler's uml distilled instead ,"[379, 419, 827]"
